index_date,a,b
01-01 00,0,0
01-01 01,0,0
01-01 02,0,0
01-01 03,0,0
01-01 04,0,0
01-01 05,0,0
01-01 06,0,0
01-01 07,0,0
01-01 08,2.889643138334647,11528.849046280542
01-01 09,3.304783428399057,328.23273018359606
01-01 10,6.365919566485495,80.81371059968475
01-01 11,18.15690809448697,128.60399906623954
01-01 12,22.56675648373039,141.71546480589984
01-01 13,18.463162881066356,159.96874957433357
01-01 14,4.7928147292554995,100.852548763162
01-01 15,1.3138678982657122,343.3037092856554
01-01 16,0,0
01-01 17,0,0
01-01 18,0,0
01-01 19,0,0
01-01 20,0,0
01-01 21,0,0
01-01 22,0,0
01-01 23,0,0
01-02 00,0,0
01-02 01,0,0
01-02 02,0,0
01-02 03,0,0
01-02 04,0,0
01-02 05,0,0
01-02 06,0,0
01-02 07,0,0
01-02 08,3.1063827839368616,3550.6658531855155
01-02 09,3.1755572726211194,92.38731200022791
01-02 10,11.868246351055761,97.20262205268352
01-02 11,15.859724284381551,85.54246990481171
01-02 12,14.874637188911098,76.94470049859406
01-02 13,11.23886944703678,77.71927152603804
01-02 14,6.749133082522323,96.7462521478383
01-02 15,4.687177856478398,594.0479983497463
01-02 16,0,0
01-02 17,0,0
01-02 18,0,0
01-02 19,0,0
01-02 20,0,0
01-02 21,0,0
01-02 22,0,0
01-02 23,0,0
01-03 00,0,0
01-03 01,0,0
01-03 02,0,0
01-03 03,0,0
01-03 04,0,0
01-03 05,0,0
01-03 06,0,0
01-03 07,0,0
01-03 08,0.6627605746346042,1128.7830093309676
01-03 09,0.6742057093072604,30.85891666861529
01-03 10,5.0873038940207955,102.60035134575017
01-03 11,21.409074034745196,181.18055490551185
01-03 12,14.923090278820604,122.81189244722799
01-03 13,36.927327873213635,395.96397310020967
01-03 14,3.8474028074349413,109.62635091127154
01-03 15,1.9253886250981738,294.62223324056237
01-03 16,0,0
01-03 17,0,0
01-03 18,0,0
01-03 19,0,0
01-03 20,0,0
01-03 21,0,0
01-03 22,0,0
01-03 23,0,0
01-04 00,0,0
01-04 01,0,0
01-04 02,0,0
01-04 03,0,0
01-04 04,0,0
01-04 05,0,0
01-04 06,0,0
01-04 07,0,0
01-04 08,0.6952376943786073,1099.698834084598
01-04 09,0.6862444050240948,30.355904620297448
01-04 10,3.0628382245869417,37.43342776507858
01-04 11,4.375024026821042,34.590320658764924
01-04 12,3.3470810799450046,25.514080455896902
01-04 13,3.4829891852503296,35.94533710011367
01-04 14,3.517400597243513,65.10929717910724
01-04 15,0.8668379083708401,168.80379890877035
01-04 16,0,0
01-04 17,0,0
01-04 18,0,0
01-04 19,0,0
01-04 20,0,0
01-04 21,0,0
01-04 22,0,0
01-04 23,0,0
01-05 00,0,0
01-05 01,0,0
01-05 02,0,0
01-05 03,0,0
01-05 04,0,0
01-05 05,0,0
01-05 06,0,0
01-05 07,0,0
01-05 08,7.11873033668216,5934.409235000387
01-05 09,8.002298268357007,200.73526519367215
01-05 10,14.800155482002998,147.76571900389422
01-05 11,9.555180778515378,65.44406948863342
01-05 12,12.23847981727396,77.76201780774491
01-05 13,115.22110153610323,1011.5556903116968
01-05 14,25.305370644958128,384.3446847501881
01-05 15,1.5919049082247827,252.29511764874337
01-05 16,0,0
01-05 17,0,0
01-05 18,0,0
01-05 19,0,0
01-05 20,0,0
01-05 21,0,0
01-05 22,0,0
01-05 23,0,0
01-06 00,0,0
01-06 01,0,0
01-06 02,0,0
01-06 03,0,0
01-06 04,0,0
01-06 05,0,0
01-06 06,0,0
01-06 07,0,0
01-06 08,1.8404483019051718,1699.6913540436972
01-06 09,1.7795211531143764,52.30560556353461
01-06 10,4.059197562280807,41.76280103678688
01-06 11,3.4992593316512783,32.91360881345711
01-06 12,3.3744881887766556,34.3884260602484
01-06 13,13.100606666656923,117.5119570071797
01-06 14,5.539550349973604,82.88589841828458
01-06 15,1.7963029205224736,225.57539346762232
01-06 16,0,0
01-06 17,0,0
01-06 18,0,0
01-06 19,0,0
01-06 20,0,0
01-06 21,0,0
01-06 22,0,0
01-06 23,0,0
01-07 00,0,0
01-07 01,0,0
01-07 02,0,0
01-07 03,0,0
01-07 04,0,0
01-07 05,0,0
01-07 06,0,0
01-07 07,0,0
01-07 08,1.2788284234213332,1365.5460874368334
01-07 09,1.4210036311348513,49.26650845104908
01-07 10,4.591741041421931,62.13877465465202
01-07 11,3.6086866804196815,31.810229982754386
01-07 12,1.6153617004826282,19.564389492454698
01-07 13,7.351740317383117,62.14572650977699
