# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2021-01-01T00:00:00.0
# Date end (ISO 8601): 2024-01-02T00:00:00.0
# Latitude (positive North, ISO 19115): 56.0000
# Longitude (positive East, ISO 19115): -1.6000
# Altitude (m): 0.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2024-01-17
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T01:00:00.0/2021-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T02:00:00.0/2021-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T03:00:00.0/2021-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T04:00:00.0/2021-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T05:00:00.0/2021-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T06:00:00.0/2021-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T07:00:00.0/2021-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T08:00:00.0/2021-01-01T09:00:00.0;4.0925;1.0751;0.0268;1.0483;0.4329;0.1974;0.0000;0.1974;0.0000;0.8833
2021-01-01T09:00:00.0/2021-01-01T10:00:00.0;98.1707;40.8716;13.0495;27.8222;155.7174;7.5471;0.0000;7.5471;0.0000;0.5917
2021-01-01T10:00:00.0/2021-01-01T11:00:00.0;199.6231;107.5295;56.2977;51.2318;391.3625;55.1894;1.0287;54.1607;6.6956;1.0000
2021-01-01T11:00:00.0/2021-01-01T12:00:00.0;256.4708;151.9736;92.9297;59.0438;509.3066;91.5224;6.7156;84.8069;36.1798;1.0000
2021-01-01T12:00:00.0/2021-01-01T13:00:00.0;264.8431;160.1534;102.6319;57.5215;545.5425;94.9650;6.0108;88.9542;32.1195;1.0000
2021-01-01T13:00:00.0/2021-01-01T14:00:00.0;224.1716;130.1190;81.2072;48.9118;508.0378;79.4686;3.1065;76.3621;18.8459;1.0000
2021-01-01T14:00:00.0/2021-01-01T15:00:00.0;137.2288;68.7968;36.6033;32.1935;360.2188;23.5478;0.0295;23.5183;0.2405;0.9083
2021-01-01T15:00:00.0/2021-01-01T16:00:00.0;23.5195;8.2561;2.2769;5.9792;52.1849;1.0509;0.0000;1.0509;0.0000;0.7083
2021-01-01T16:00:00.0/2021-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T17:00:00.0/2021-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T18:00:00.0/2021-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T19:00:00.0/2021-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T20:00:00.0/2021-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T21:00:00.0/2021-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T22:00:00.0/2021-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T23:00:00.0/2021-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T00:00:00.0/2021-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T01:00:00.0/2021-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T02:00:00.0/2021-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T03:00:00.0/2021-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T04:00:00.0/2021-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T05:00:00.0/2021-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T06:00:00.0/2021-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T07:00:00.0/2021-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T08:00:00.0/2021-01-02T09:00:00.0;4.2938;1.1826;0.1086;1.0740;2.3771;0.3003;0.0000;0.3003;0.0000;0.8833
2021-01-02T09:00:00.0/2021-01-02T10:00:00.0;99.2642;44.0260;19.3116;24.7144;241.2217;11.2948;0.0000;11.2948;0.0000;0.5917
2021-01-02T10:00:00.0/2021-01-02T11:00:00.0;201.1162;111.3579;65.1563;46.2016;451.8600;62.6565;0.8440;61.8126;5.3756;1.0000
2021-01-02T11:00:00.0/2021-01-02T12:00:00.0;258.3755;154.1239;97.0176;57.1063;528.2538;94.6258;5.1577;89.4681;28.1847;1.0000
2021-01-02T12:00:00.0/2021-01-02T13:00:00.0;267.1437;161.3819;103.3107;58.0711;544.4265;96.4638;6.6732;89.7907;34.9040;1.0000
2021-01-02T13:00:00.0/2021-01-02T14:00:00.0;226.8257;131.6002;81.8544;49.7458;506.1147;71.1673;1.9502;69.2172;12.6763;1.0000
2021-01-02T14:00:00.0/2021-01-02T15:00:00.0;140.1700;70.3168;37.0630;33.2539;357.1203;31.3163;0.4377;30.8787;3.3435;0.9083
2021-01-02T15:00:00.0/2021-01-02T16:00:00.0;25.3392;8.8750;2.3070;6.5680;50.6403;3.2569;0.0000;3.2569;0.0000;0.7000
2021-01-02T16:00:00.0/2021-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T17:00:00.0/2021-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T18:00:00.0/2021-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T19:00:00.0/2021-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T20:00:00.0/2021-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T21:00:00.0/2021-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T22:00:00.0/2021-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T23:00:00.0/2021-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T00:00:00.0/2021-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T01:00:00.0/2021-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T02:00:00.0/2021-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T03:00:00.0/2021-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T04:00:00.0/2021-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T05:00:00.0/2021-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T06:00:00.0/2021-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T07:00:00.0/2021-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T08:00:00.0/2021-01-03T09:00:00.0;4.5369;1.2380;0.0777;1.1603;1.7701;1.2380;0.0777;1.1603;1.7701;0.8833
2021-01-03T09:00:00.0/2021-01-03T10:00:00.0;100.5379;44.7885;19.9903;24.7982;245.2679;44.7543;19.9273;24.8270;244.7017;0.5917
2021-01-03T10:00:00.0/2021-01-03T11:00:00.0;202.7899;112.6921;68.0766;44.6155;468.2003;62.6238;17.2911;45.3327;135.5598;1.0000
2021-01-03T11:00:00.0/2021-01-03T12:00:00.0;260.4591;155.3484;101.5630;53.7854;548.5626;97.2762;10.5261;86.7502;56.2106;1.0000
2021-01-03T12:00:00.0/2021-01-03T13:00:00.0;269.6194;161.9846;105.9153;56.0692;552.9032;117.1676;29.7085;87.4591;154.3681;1.0000
2021-01-03T13:00:00.0/2021-01-03T14:00:00.0;229.6489;131.3718;79.9921;51.3797;487.8706;83.9583;32.6977;51.2606;191.9666;1.0000
2021-01-03T14:00:00.0/2021-01-03T15:00:00.0;143.2731;69.9201;33.8625;36.0576;317.2062;32.8356;8.7712;24.0644;106.8208;0.9083
2021-01-03T15:00:00.0/2021-01-03T16:00:00.0;27.3471;9.2594;1.9671;7.2924;41.4448;9.2594;1.9671;7.2924;41.4448;0.6833
